OSEBuildingID,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),NumberofBuildings,TotalGHGEmissions,ENERGYSTARScore,Electricity,NaturalGas,SteamUse,OtherFuelUse,SiteEnergyUse(kBtu)
36087,0.0,0.0,1984.0,4.0,0.0,56800.0,1.0,48.879999999999995,73.5,0.6249458903852344,0.3750669599692833,0.0,0.0,2013563.125
36587,0.0,0.0,1991.0,1.0,0.0,45000.0,1.0,138.57999999999998,0.0,0.2970790592242207,0.7029269120055412,0.0,0.0,3516863.5
37008,333698.0,0.0,1999.0,6.0,0.0,333698.0,1.0,243.965,0.0,0.7289584329817167,0.2710562572957387,0.0,0.0,12525291.0
37248,0.0,0.0,1904.0,4.0,0.0,72859.0,1.0,14.445,54.5,0.943964177457874,0.05605505040491191,0.0,0.0,1511478.4375
39332,0.0,0.0,2009.0,2.0,0.0,138705.0,1.0,121.21000000000001,86.0,0.6051911777678469,0.39482097887580553,0.0,0.0,4812183.5
39673,0.0,0.0,2002.0,3.0,0.0,20000.0,1.0,3.75,87.0,1.0000208093025733,0.0,0.0,0.0,538369.7969
39768,35616.0,0.0,2012.0,17.0,21140.0,215008.0,1.0,235.4,70.0,0.5919538308794462,0.4080583891463375,0.0,0.0,9124367.0
40008,12023.0,4920.0,2004.0,3.0,0.0,21947.0,1.0,38.415,27.0,0.613369720907938,0.38664279330881784,0.0,0.0,1548239.125
40031,0.0,0.0,1960.0,0.0,0.0,30287.0,1.0,30.299999999999997,44.0,0.83616858708003,0.1638479606270094,0.0,0.0,2084881.0
40034,31845.0,0.0,1960.0,0.0,0.0,21931.0,1.0,141.37,26.5,0.3531152529773604,0.6468918765339233,0.0,0.0,3839674.125
40067,18364.0,0.0,1985.0,6.0,0.0,71949.0,1.0,30.3,74.0,1.0000208794673215,0.0,0.0,0.0,4346375.25
40348,64000.0,41014.0,1916.0,2.0,59401.0,81422.0,1.0,67.795,30.0,0.9713703954439549,0.028663490594728114,0.0,0.0,8174458.0
40388,0.0,0.0,1968.0,4.0,0.0,24386.0,1.0,4.109999999999999,73.0,1.0000209028259452,0.0,0.0,0.0,589035.1875
40447,39772.0,6275.0,1966.0,1.0,0.0,87458.0,3.0,272.735,0.0,0.46231995802356035,0.5376897716919345,0.0,0.0,8581957.0
40529,0.0,0.0,1968.0,4.0,0.0,35796.0,1.0,7.0600000000000005,62.5,1.0000211606120686,0.0,0.0,0.0,1013085.0625
41068,0.0,0.0,1990.0,4.0,0.0,43228.0,1.0,6.449999999999999,97.5,1.0000200561423422,0.0,0.0,0.0,925526.9375
41070,0.0,0.0,1990.0,4.0,0.0,39394.0,1.0,4.465,100.0,1.0000210664130376,0.0,0.0,0.0,640830.5
41527,2930.0,0.0,2011.0,7.0,3777.5,32401.5,1.0,33.985,47.5,0.6566722936829232,0.34334062848384556,0.0,0.0,1489688.25
41928,0.0,0.0,2011.0,1.0,0.0,51400.0,1.0,300.46000000000004,74.5,0.5932863501880837,0.40672598471850696,0.0,0.0,11674186.5
41987,0.0,0.0,2011.0,6.0,0.0,290520.0,1.0,185.39999999999998,86.0,0.5614795642956826,0.4385321378907884,0.0,0.0,6814965.75
